“INVOICE_ID”,”ITEM_ID”,”AMOUNT”,”QUANTITY”
“IN01”,”ITEM01”,”1.50”,”1”
“IN01”,”ITEM02”,”2.50”,”2”
“IN01”,”ITEM03”,”3.50”,”3”
“IN02”,”ITEM04”,”4.50”,”4”
“IN02”,”ITEM05”,”5.50”,”5”
“IN02”,”ITEM06”,”6.50”,”6”
“IN03”,”ITEM07”,”7.50”,”7”
“IN04”,”ITEM08”,”8.50”,”8”
“IN04”,”ITEM09”,”9.50”,”9”
“IN05”,”ITEM010”,”10.50”,”10”
“IN05”,”ITEM011”,”11.50”,”11”
“IN05”,”ITEM012”,”12.50”,”12”
“IN06”,”ITEM013”,”13.50”,”13”
“IN07”,”ITEM014”,”14.50”,”14”
“IN08”,”ITEM015”,”15.50”,”15”
“IN09”,”ITEM016”,”16.50”,”16”
“IN09”,”ITEM017”,”17.50”,”17”
“IN09”,”ITEM018”,”18.50”,”18”
“IN02”,”ITEM019”,”19.50”,”19”
“IN02”,”ITEM020”,”20.50”,”0”
“IN02”,”ITEM021”,”21.50”,”1”
“IN02”,”ITEM022”,”22.50”,”2”
“IN03”,”ITEM023”,”23.50”,”3”
“IN03”,”ITEM024”,”24.50”,”4”
“IN03”,”ITEM025”,”25.50”,”5”
“IN03”,”ITEM026”,”26.50”,”6”
“IN03”,”ITEM027”,”27.50”,”7”
“IN03”,”ITEM028”,”28.50”,”8”
“IN03”,”ITEM029”,”29.50”,”9”
“IN03”,”ITEM030”,”30.50”,”10”
“IN03”,”ITEM031”,”31.50”,”11”
“IN04”,”ITEM032”,”32.50”,”12”
“IN04”,”ITEM033”,”33.50”,”13”
“IN04”,”ITEM034”,”34.50”,”14”
“IN04”,”ITEM035”,”35.50”,”15”
“IN04”,”ITEM036”,”36.50”,”16”
“IN04”,”ITEM037”,”37.50”,”17”
“IN04”,”ITEM038”,”38.50”,”18”
“IN04”,”ITEM039”,”39.50”,”19”
“IN04”,”ITEM040”,”40.50”,”0”
“IN05”,”ITEM041”,”41.50”,”1”
“IN05”,”ITEM042”,”42.50”,”2”
“IN05”,”ITEM043”,”43.50”,”3”
“IN05”,”ITEM044”,”44.50”,”4”
“IN05”,”ITEM045”,”45.50”,”5”
“IN05”,”ITEM046”,”46.50”,”6”
“IN05”,”ITEM047”,”47.50”,”7”
“IN05”,”ITEM048”,”48.50”,”8”
“IN05”,”ITEM049”,”49.50”,”9”
“IN06”,”ITEM050”,”50.50”,”10”
“IN06”,”ITEM051”,”51.50”,”11”
“IN06”,”ITEM052”,”52.50”,”12”
“IN06”,”ITEM053”,”53.50”,”13”
“IN06”,”ITEM054”,”54.50”,”14”
“IN06”,”ITEM055”,”55.50”,”15”
“IN06”,”ITEM056”,”56.50”,”16”
“IN06”,”ITEM057”,”57.50”,”17”
“IN06”,”ITEM058”,”58.50”,”18”
“IN07”,”ITEM059”,”59.50”,”19”
“IN07”,”ITEM060”,”60.50”,”0”
“IN07”,”ITEM061”,”61.50”,”1”
“IN07”,”ITEM062”,”62.50”,”2”
“IN07”,”ITEM063”,”63.50”,”3”
“IN07”,”ITEM064”,”64.50”,”4”
“IN07”,”ITEM065”,”65.50”,”5”
“IN07”,”ITEM066”,”66.50”,”6”
“IN07”,”ITEM067”,”67.50”,”7”
“IN08”,”ITEM068”,”68.50”,”8”
“IN08”,”ITEM069”,”69.50”,”9”
“IN08”,”ITEM070”,”70.50”,”10”
“IN10”,”ITEM070”,”70.50”,”10”
